speaker,dialogue,author,title,comedia
Belisa,No es tan tarde como piensa tu sueño.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,Estoy desvelada.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Harto más lo vengo yo de tanta celosa rabia. Responder quiero a Lucinda, la que mañana se casa, la discreta, la dichosa, la linda, la bien tocada, que me ha pedido un vestido mientras sus galas le acaban, para que de sus vitorias sean despojos mis galas; que tal linaje de burla solo pienso que se usara conmigo, de quien amor con razón toma venganza.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,Pues ¿no hay mañana lugar?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¿No has visto que cuando tratan dos hacer un desafío, el agraviado no aguarda que salga primero el otro? Déjame tomar la espada y matar esta mujer...",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,"Finea, avisa que tañan.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¡Conmigo doña Lucrecia, por necia, que no por casta!",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,¿Escribir quieres agora?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Pon, Finea, en esa cuadra una bujía y papel, tinta y pluma.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,Pienso que anda por esos aires tu seso.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Corre esta cortina, acaba.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,¡Jesús! ¿Qué hay aquí?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Finea,"¡Hay, señora, un hombre!",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"Quedo, no hagas, Belisa, estremos. Yo soy.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"¿Vueseñoría en mi casa a tales horas? ¡Ay, Celia! Buen cuidado, gentil guarda. ¿Tú pones en mi aposento al conde y junto a mi cama? ¿Dónde se vio tal traición?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Celia,"Si yo salgo a ver quién llama y, en abriendo, se entra dentro y poderoso amenaza mi vida, ¿qué puedo hacer?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,"Decírmelo cuando entrara, y volviérame a salir donde esta noche pasara en casa de alguna amiga.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Conde,"No estéis, señora, turbada, que si amor me puso aquí en viendo vuestra desgracia, él me mostrará también la puerta por donde salga. De noche entré, sin pensar que tanto el sol se tardara de amanecer a mis ojos. Detuviéronme mis ansias hablando con Celia en vos y, como las horas pasan tan apriesa por el gusto sin que las sienta quien ama, cuando ya me quise ir, llamastes vos, y esperaba a salir sin que me viesen.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Belisa,A tan corteses palabras rindo todos mis enojos.,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Entra quedito, que hablan en la cuadra de Belisa.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Por Dios, que no era muy baja la tapia del dicho huerto.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Difícil era la tapia, si amor no me diera el pie o me subiera en sus alas.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,"Como no me ayuda a mí, por Dios que traigo quebrada la ausencia de la barriga.",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,Hombre habla. ¡Cosa estraña!,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Tello,¿Hombre aquí? ¿Y a tales horas?,Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
Juan,"Tello, ¿quién lo imaginara?",Félix Lope De Vega Carpio,Las Bizarrías De Belisa Comedia Famosa,Jornada Iii
